T,Cl
0,0
0.0625,-0.000588784
0.125,-0.00132515
0.1875,-0.00191754
0.25,-0.00243508
0.3125,-0.00290794
0.375,-0.00334982
0.4375,-0.00376744
0.5,-0.00416463
0.5625,-0.00454394
0.625,-0.00490725
0.6875,-0.00525616
0.75,-0.00559191
0.8125,-0.00591566
0.875,-0.00622847
0.9375,-0.00653113
1,-0.00682459
1.0625,-0.00710927
1.125,-0.00738631
1.1875,-0.00765593
1.25,-0.00791884
1.3125,-0.00817554
1.375,-0.0084265
1.4375,-0.00867214
1.5,-0.00891285
1.5625,-0.00914896
1.625,-0.00938083
1.6875,-0.00960871
1.75,-0.00983278
1.8125,-0.0100533
1.875,-0.0102705
1.9375,-0.0104845
2,-0.0106952
2.0625,-0.0109029
2.125,-0.0111076
2.1875,-0.0113092
2.25,-0.0115076
2.3125,-0.011703
2.375,-0.0118952
2.4375,-0.012084
2.5,-0.012269
2.5625,-0.0124514
2.625,-0.0126288
2.6875,-0.012803
2.75,-0.0129727
2.8125,-0.013138
2.875,-0.0132986
2.9375,-0.0134543
3,-0.0136047
3.0625,-0.0137498
3.125,-0.0138889
3.1875,-0.0140221
3.25,-0.0141488
3.3125,-0.0142691
3.375,-0.0143824
3.4375,-0.0144885
3.5,-0.0145872
3.5625,-0.014678
3.625,-0.0147611
3.6875,-0.0148356
3.75,-0.0149019
3.8125,-0.0149595
3.875,-0.0150078
3.9375,-0.0150475
4,-0.0150773
4.0625,-0.0150979
4.125,-0.0151089
4.1875,-0.0151102
4.25,-0.0151012
4.3125,-0.0150825
4.375,-0.0150535
4.4375,-0.0150144
4.5,-0.0149651
4.5625,-0.0149056
4.625,-0.0148356
4.6875,-0.0147552
4.75,-0.0146647
4.8125,-0.0145638
4.875,-0.0144527
4.9375,-0.0143311
5,-0.0141997
5.0625,-0.014058
5.125,-0.0139065
5.1875,-0.0137446
5.25,-0.0135731
5.3125,-0.0133918
5.375,-0.0132008
5.4375,-0.0130003
5.5,-0.0127902
5.5625,-0.0125708
5.625,-0.0123421
5.6875,-0.0121043
5.75,-0.0118574
5.8125,-0.0116015
5.875,-0.0113369
5.9375,-0.0110634
6,-0.0107812
6.0625,-0.0104905
6.125,-0.0101913
6.1875,-0.00988384
6.25,-0.00956788
6.3125,-0.00924363
6.375,-0.00891136
6.4375,-0.00857094
6.5,-0.00822242
6.5625,-0.00786608
6.625,-0.0075018
6.6875,-0.00712963
6.75,-0.00674981
6.8125,-0.00636234
6.875,-0.00596729
6.9375,-0.00556477
7,-0.00515488
7.0625,-0.00473773
7.125,-0.00431343
7.1875,-0.00388215
7.25,-0.00344395
7.3125,-0.00299912
7.375,-0.00254771
7.4375,-0.00208996
7.5,-0.00162608
7.5625,-0.00115627
7.625,-0.000680787
7.6875,-0.000199874
7.75,0.000286192
7.8125,0.000777145
7.875,0.00127264
7.9375,0.00177237
8,0.002276
