T,Cd
0,0
0.125,0.0497003
0.25,0.165775
0.375,0.310113
0.5,0.473436
0.625,0.647589
0.75,0.824775
0.875,0.997491
1,1.15866
1.125,1.3018
1.25,1.42123
1.375,1.51222
1.5,1.57114
1.625,1.59555
1.75,1.58438
1.875,1.5379
2,1.45775
2.125,1.39555
2.25,1.37305
2.375,1.35902
2.5,1.34971
2.625,1.3433
2.75,1.33878
2.875,1.33553
3,1.33315
3.125,1.33139
3.25,1.33007
3.375,1.32907
3.5,1.3283
3.625,1.32769
3.75,1.32722
3.875,1.32684
4,1.32653
4.125,1.32629
4.25,1.32608
4.375,1.32591
4.5,1.32577
4.625,1.32565
4.75,1.32555
4.875,1.32547
5,1.32539
5.125,1.32533
5.25,1.32527
5.375,1.32522
5.5,1.32517
5.625,1.32513
5.75,1.32509
5.875,1.32506
6,1.32503
