T,Cl
0,0
0.125,-0.000131819
0.25,-0.000503081
0.375,-0.00106251
0.5,-0.00177477
0.625,-0.00262829
0.75,-0.00362508
0.875,-0.00477001
1,-0.00605973
1.125,-0.0074706
1.25,-0.00894947
1.375,-0.0104154
1.5,-0.011774
1.625,-0.0129357
1.75,-0.0138288
1.875,-0.0144038
2,-0.0146323
2.125,-0.0146265
2.25,-0.0145671
2.375,-0.0145252
2.5,-0.0144991
2.625,-0.0144945
2.75,-0.014514
2.875,-0.0145573
3,-0.0146224
3.125,-0.0147066
3.25,-0.0148064
3.375,-0.0149185
3.5,-0.0150396
3.625,-0.0151669
3.75,-0.0152979
3.875,-0.0154306
4,-0.0155633
4.125,-0.0156949
4.25,-0.0158244
4.375,-0.015951
4.5,-0.0160742
4.625,-0.0161936
4.75,-0.0163089
4.875,-0.0164201
5,-0.0165269
5.125,-0.0166294
5.25,-0.0167276
5.375,-0.0168216
5.5,-0.0169114
5.625,-0.0169971
5.75,-0.0170788
5.875,-0.0171567
6,-0.0172309
