T,Cl
0,0
0.125,-0.00208066
0.25,-0.00375216
0.375,-0.00529572
0.5,-0.00679412
0.625,-0.00827421
0.75,-0.00974783
0.875,-0.011221
1,-0.0126962
1.125,-0.0141738
1.25,-0.015652
1.375,-0.0171281
1.5,-0.0185977
1.625,-0.0200562
1.75,-0.0214979
1.875,-0.0229168
2,-0.0243064
2.125,-0.0256601
2.25,-0.0269708
2.375,-0.0282317
2.5,-0.0294357
2.625,-0.0305759
2.75,-0.0316455
2.875,-0.0326381
3,-0.0335473
3.125,-0.0343672
3.25,-0.0350924
3.375,-0.0357177
3.5,-0.0362386
3.625,-0.0366512
3.75,-0.036952
3.875,-0.0371383
4,-0.037208
4.125,-0.0371596
4.25,-0.0369924
4.375,-0.0367063
4.5,-0.0363021
4.625,-0.0357811
4.75,-0.0351453
4.875,-0.0343976
5,-0.0335414
5.125,-0.0325806
5.25,-0.0315201
5.375,-0.0303651
5.5,-0.0291214
5.625,-0.0277953
5.75,-0.0263935
5.875,-0.0249232
6,-0.0233918
6.125,-0.0218072
6.25,-0.0201772
6.375,-0.0185099
6.5,-0.0168138
6.625,-0.015097
6.75,-0.0133677
6.875,-0.0116341
7,-0.00990419
7.125,-0.00818577
7.25,-0.00648644
7.375,-0.00481336
7.5,-0.00317346
7.625,-0.00157321
7.75,-1.86389e-05
7.875,0.00148466
8,0.0029316
