T,Cl
0,0
0.03125,1.93328e-05
0.0625,5.45563e-05
0.09375,8.27921e-05
0.125,0.000104321
0.15625,0.000120032
0.1875,0.000130914
0.21875,0.000137971
0.25,0.00014204
0.28125,0.000144365
0.3125,0.000145273
0.34375,0.000146148
0.375,0.000147509
0.40625,0.000150861
0.4375,0.000156396
0.46875,0.000165431
0.5,0.000178956
0.53125,0.000197123
0.5625,0.000221575
0.59375,0.000250396
0.625,0.000285896
0.65625,0.000323649
0.6875,0.000363207
0.71875,0.000401989
0.75,0.000436021
0.78125,0.000462214
0.8125,0.000477835
0.84375,0.000479316
0.875,0.000465048
0.90625,0.000432863
0.9375,0.000381032
0.96875,0.000306603
1,0.000208505
1.03125,8.5078e-05
1.0625,-6.54494e-05
1.09375,-0.000242002
1.125,-0.000444041
1.15625,-0.000665957
1.1875,-0.000904385
1.21875,-0.00115408
1.25,-0.00140803
1.28125,-0.0016612
1.3125,-0.00191045
1.34375,-0.00214651
1.375,-0.00236736
1.40625,-0.00256632
1.4375,-0.00274079
1.46875,-0.00288382
1.5,-0.00298984
1.53125,-0.00305685
1.5625,-0.00308357
1.59375,-0.00306574
1.625,-0.00300934
1.65625,-0.00291569
1.6875,-0.00279072
1.71875,-0.00264114
1.75,-0.00247583
1.78125,-0.0023027
1.8125,-0.00213253
1.84375,-0.00197494
1.875,-0.00183758
1.90625,-0.00173177
1.9375,-0.00166361
1.96875,-0.00164149
2,-0.0016706
2.03125,-0.00173797
2.0625,-0.00181959
2.09375,-0.00189634
2.125,-0.00197578
2.15625,-0.00204601
2.1875,-0.00212655
2.21875,-0.0022146
2.25,-0.00234157
2.28125,-0.00248713
2.3125,-0.00266275
2.34375,-0.00286419
2.375,-0.00309068
2.40625,-0.00333764
2.4375,-0.00360818
2.46875,-0.00389366
2.5,-0.00419442
2.53125,-0.00450797
2.5625,-0.00483075
2.59375,-0.00516258
2.625,-0.00549892
2.65625,-0.00583933
2.6875,-0.00618095
2.71875,-0.00652331
2.75,-0.0068617
2.78125,-0.00719699
2.8125,-0.00752907
2.84375,-0.00785344
