T,Cl
0,0
0.125,-0.00436285
0.25,-0.00800461
0.375,-0.011461
0.5,-0.0148357
0.625,-0.0181609
0.75,-0.02145
0.875,-0.0247077
1,-0.027934
1.125,-0.0311256
1.25,-0.0342769
1.375,-0.0373807
1.5,-0.0404287
1.625,-0.0434115
1.75,-0.0463196
1.875,-0.0491428
2,-0.0518707
2.125,-0.054493
2.25,-0.0569995
2.375,-0.05938
2.5,-0.0616246
2.625,-0.0637238
2.75,-0.0656688
2.875,-0.0674505
3,-0.0690614
3.125,-0.0704936
3.25,-0.0717407
3.375,-0.0727966
3.5,-0.0736561
3.625,-0.0743146
3.75,-0.0747687
3.875,-0.0750156
4,-0.0750536
4.125,-0.0748817
4.25,-0.0745001
4.375,-0.0739096
4.5,-0.0731121
4.625,-0.0721105
4.75,-0.0709085
4.875,-0.0695107
5,-0.0679224
5.125,-0.0661501
5.25,-0.0642008
5.375,-0.0620821
5.5,-0.0598027
5.625,-0.0573715
5.75,-0.0547984
5.875,-0.0520933
6,-0.0492671
6.125,-0.0463307
6.25,-0.0432955
6.375,-0.040173
6.5,-0.0369751
6.625,-0.0337135
6.75,-0.0304003
6.875,-0.0270472
7,-0.0236661
7.125,-0.0202686
7.25,-0.0168661
7.375,-0.0134697
7.5,-0.0100902
7.625,-0.00673805
7.75,-0.00342312
7.875,-0.000154952
8,0.00305746
