T,Cd
0,0
0.125,0.173438
0.25,0.6423
0.375,1.34094
0.5,2.23912
0.625,3.30171
0.75,4.4878
0.875,5.75184
1,7.04534
1.125,8.31862
1.25,9.52277
1.375,10.6115
1.5,11.5428
1.625,12.2809
1.75,12.7972
1.875,13.0719
2,13.0942
2.125,13.0369
2.25,13.0311
2.375,13.0298
2.5,13.0294
2.625,13.0292
2.75,13.0291
2.875,13.029
3,13.029
3.125,13.029
3.25,13.0289
3.375,13.0289
3.5,13.0289
3.625,13.0289
3.75,13.0289
3.875,13.0289
4,13.0289
4.125,13.0289
4.25,13.0289
4.375,13.0289
4.5,13.0289
4.625,13.0289
4.75,13.0289
4.875,13.0289
5,13.0289
5.125,13.0289
5.25,13.0289
5.375,13.0289
5.5,13.0289
5.625,13.0289
5.75,13.0289
5.875,13.0289
6,13.0289
