T,Cl
0,0
0.125,-0.000566694
0.25,-0.00217536
0.375,-0.00464191
0.5,-0.00778266
0.625,-0.0114076
0.75,-0.0153222
0.875,-0.0193384
1,-0.0232856
1.125,-0.0270155
1.25,-0.0304061
1.375,-0.0333595
1.5,-0.0357997
1.625,-0.037667
1.75,-0.0389148
1.875,-0.0395067
2,-0.0394169
2.125,-0.0391046
2.25,-0.038995
2.375,-0.0389882
2.5,-0.0390044
2.625,-0.0390174
2.75,-0.0390229
2.875,-0.0390229
3,-0.0390197
3.125,-0.0390153
3.25,-0.0390108
3.375,-0.0390066
3.5,-0.039003
3.625,-0.0390002
3.75,-0.0389979
3.875,-0.0389962
4,-0.0389949
4.125,-0.0389939
4.25,-0.0389932
4.375,-0.0389927
4.5,-0.0389923
4.625,-0.0389921
4.75,-0.0389919
4.875,-0.0389918
5,-0.0389918
5.125,-0.0389915
5.25,-0.0389917
5.375,-0.0389915
5.5,-0.0389916
5.625,-0.0389915
5.75,-0.0389915
5.875,-0.0389915
6,-0.0389914
