T,Cd
0,0
0.125,0.481336
0.25,0.763275
0.375,1.02575
0.5,1.27995
0.625,1.5289
0.75,1.77331
0.875,2.01311
1,2.24795
1.125,2.47736
1.25,2.70083
1.375,2.91784
1.5,3.12787
1.625,3.33042
1.75,3.525
1.875,3.71114
2,3.88839
2.125,4.0563
2.25,4.21447
2.375,4.36252
2.5,4.50006
2.625,4.62678
2.75,4.74235
2.875,4.84648
3,4.93892
3.125,5.01944
3.25,5.08783
3.375,5.14393
3.5,5.18759
3.625,5.21871
3.75,5.2372
3.875,5.24302
4,5.23614
4.125,5.21659
4.25,5.18441
4.375,5.13968
4.5,5.08251
4.625,5.01303
4.75,4.93143
4.875,4.8379
5,4.73266
5.125,4.61599
5.25,4.48817
5.375,4.34951
5.5,4.20035
5.625,4.04107
5.75,3.87206
5.875,3.69373
6,3.50651
6.125,3.31088
6.25,3.10731
6.375,2.89629
6.5,2.67835
6.625,2.45401
6.75,2.22383
6.875,1.98836
7,1.74817
7.125,1.50386
7.25,1.256
7.375,1.00521
7.5,0.752077
7.625,0.497225
7.75,0.241264
7.875,-0.0151892
8,-0.271517
