T,Cl
0,0
0.125,-0.00289428
0.25,-0.00540161
0.375,-0.00766542
0.5,-0.0097886
0.625,-0.0118058
0.75,-0.0137352
0.875,-0.0155879
1,-0.0173703
1.125,-0.0190865
1.25,-0.0207384
1.375,-0.0223268
1.5,-0.0238517
1.625,-0.0253124
1.75,-0.0267079
1.875,-0.028037
2,-0.0292983
2.125,-0.0304904
2.25,-0.0316116
2.375,-0.0326604
2.5,-0.0336353
2.625,-0.0345346
2.75,-0.035357
2.875,-0.036101
3,-0.0367651
3.125,-0.0373479
3.25,-0.0378483
3.375,-0.038265
3.5,-0.0385969
3.625,-0.0388431
3.75,-0.0390027
3.875,-0.0390752
4,-0.0390597
4.125,-0.0389558
4.25,-0.0387635
4.375,-0.0384825
4.5,-0.0381127
4.625,-0.0376551
4.75,-0.037109
4.875,-0.0364758
5,-0.035756
5.125,-0.0349504
5.25,-0.0340604
5.375,-0.0330872
5.5,-0.0320319
5.625,-0.0308966
5.75,-0.0296829
5.875,-0.0283927
6,-0.0270281
6.125,-0.0255916
6.25,-0.0240853
6.375,-0.022512
6.5,-0.0208746
6.625,-0.0191759
6.75,-0.0174191
6.875,-0.0156075
7,-0.0137446
7.125,-0.011834
7.25,-0.00987976
7.375,-0.00788591
7.5,-0.00585659
7.625,-0.00379642
7.75,-0.00170997
7.875,0.000397896
8,0.00252213
