T,Cd
0,0
0.125,0.885802
0.25,1.54077
0.375,2.17746
0.5,2.80604
0.625,3.42723
0.75,4.04004
0.875,4.64313
1,5.23508
1.125,5.81447
1.25,6.37992
1.375,6.93007
1.5,7.46357
1.625,7.97915
1.75,8.47555
1.875,8.95159
2,9.40609
2.125,9.83796
2.25,10.2462
2.375,10.6297
2.5,10.9876
2.625,11.3191
2.75,11.6233
2.875,11.8994
3,12.1469
3.125,12.3651
3.25,12.5535
3.375,12.7116
3.5,12.8391
3.625,12.9356
3.75,13.0008
3.875,13.0348
4,13.0372
4.125,13.0082
4.25,12.9478
4.375,12.8562
4.5,12.7335
4.625,12.5801
4.75,12.3964
4.875,12.1828
5,11.9398
5.125,11.668
5.25,11.368
5.375,11.0407
5.5,10.6867
5.625,10.307
5.75,9.90247
5.875,9.47409
6,9.02289
6.125,8.54998
6.25,8.05649
6.375,7.54364
6.5,7.01265
6.625,6.46482
6.75,5.90147
6.875,5.32397
7,4.7337
7.125,4.1321
7.25,3.52062
7.375,2.90073
7.5,2.27394
7.625,1.64176
7.75,1.00571
7.875,0.367318
8,-0.271869
