T,Cd
0,0
0.125,0.253834
0.25,0.348164
0.375,0.428685
0.5,0.502
0.625,0.57055
0.75,0.635487
0.875,0.697411
1,0.756647
1.125,0.813365
1.25,0.867638
1.375,0.919484
1.5,0.96888
1.625,1.01578
1.75,1.06012
1.875,1.10184
2,1.14085
2.125,1.17708
2.25,1.21045
2.375,1.24089
2.5,1.26833
2.625,1.29271
2.75,1.31395
2.875,1.33202
3,1.34685
3.125,1.35843
3.25,1.3667
3.375,1.37165
3.5,1.37327
3.625,1.37154
3.75,1.36647
3.875,1.35806
4,1.34634
4.125,1.33133
4.25,1.31308
4.375,1.29161
4.5,1.26699
4.625,1.23928
4.75,1.20854
4.875,1.17485
5,1.1383
5.125,1.09898
5.25,1.05699
5.375,1.01243
5.5,0.965416
5.625,0.916068
5.75,0.86451
5.875,0.810871
6,0.755286
6.125,0.697894
6.25,0.63884
6.375,0.57827
6.5,0.516336
6.625,0.453192
6.75,0.388992
6.875,0.323896
7,0.258064
7.125,0.191657
7.25,0.124837
7.375,0.0577665
7.5,-0.00939124
7.625,-0.0764737
7.75,-0.143319
7.875,-0.209766
8,-0.275655
