T,Cd
0,0
0.125,0.048579
0.25,0.162124
0.375,0.30355
0.5,0.463903
0.625,0.635289
0.75,0.810188
0.875,0.98133
1,1.14175
1.125,1.28498
1.25,1.40523
1.375,1.49761
1.5,1.55832
1.625,1.58482
1.75,1.57596
1.875,1.53201
2,1.45463
2.125,1.39468
2.25,1.37393
2.375,1.36153
2.5,1.35336
2.625,1.34763
2.75,1.34351
2.875,1.3405
3,1.33829
3.125,1.33665
3.25,1.33541
3.375,1.33447
3.5,1.33375
3.625,1.33319
3.75,1.33275
3.875,1.3324
4,1.33212
4.125,1.3319
4.25,1.33172
4.375,1.33157
4.5,1.33145
4.625,1.33135
4.75,1.33126
4.875,1.33119
5,1.33113
5.125,1.33108
5.25,1.33104
5.375,1.331
5.5,1.33096
5.625,1.33094
5.75,1.33091
5.875,1.33089
6,1.33087
