T,Cl
0,0
0.125,-3.29174e-05
0.25,-0.000187465
0.375,-0.000475377
0.5,-0.000811868
0.625,-0.00111365
0.75,-0.0013241
0.875,-0.00145993
1,-0.0016471
1.125,-0.00207866
1.25,-0.00289308
1.375,-0.00408236
1.5,-0.00549972
1.625,-0.00692843
1.75,-0.00815378
1.875,-0.00901125
2,-0.00940646
2.125,-0.00915593
2.25,-0.00860168
2.375,-0.00827773
2.5,-0.00814721
2.625,-0.0081305
2.75,-0.00818128
2.875,-0.00827886
3,-0.00841261
3.125,-0.00857469
3.25,-0.00875803
3.375,-0.00895621
3.5,-0.00916384
3.625,-0.00937638
3.75,-0.00959044
3.875,-0.00980329
4,-0.0100131
4.125,-0.0102183
4.25,-0.0104179
4.375,-0.0106113
4.5,-0.0107979
4.625,-0.0109775
4.75,-0.0111501
4.875,-0.0113155
5,-0.0114737
5.125,-0.011625
5.25,-0.0117695
5.375,-0.0119073
5.5,-0.0120386
5.625,-0.0121637
5.75,-0.0122827
5.875,-0.0123961
6,-0.0125037
