T,Cd
0,0
0.125,0.538698
0.25,0.84923
0.375,1.13793
0.5,1.41743
0.625,1.69103
0.75,1.9595
0.875,2.22278
1,2.48047
1.125,2.73207
1.25,2.97701
1.375,3.21474
1.5,3.44469
1.625,3.66633
1.75,3.87912
1.875,4.08255
2,4.27614
2.125,4.45942
2.25,4.63196
2.375,4.79333
2.5,4.94315
2.625,5.08107
2.75,5.20674
2.875,5.31987
3,5.42019
3.125,5.50745
3.25,5.58145
3.375,5.642
3.5,5.68896
3.625,5.72223
3.75,5.74171
3.875,5.74736
4,5.73917
4.125,5.71717
4.25,5.68139
4.375,5.63193
4.5,5.5689
4.625,5.49247
4.75,5.4028
4.875,5.30013
5,5.18468
5.125,5.05676
5.25,4.91665
5.375,4.7647
5.5,4.60127
5.625,4.42676
5.75,4.24159
5.875,4.04619
6,3.84105
