T,Cl
0,0
0.125,-0.000407388
0.25,-0.00153096
0.375,-0.00322371
0.5,-0.00540168
0.625,-0.00799617
0.75,-0.0109376
0.875,-0.0141496
1,-0.0175455
1.125,-0.0210247
1.25,-0.0244716
1.375,-0.0277556
1.5,-0.0307342
1.625,-0.0332603
1.75,-0.0351912
1.875,-0.036401
2,-0.0367921
2.125,-0.036672
2.25,-0.0365425
2.375,-0.0365413
2.5,-0.0366149
2.625,-0.0367199
2.75,-0.0368304
2.875,-0.0369336
3,-0.0370241
3.125,-0.0371004
3.25,-0.0371632
3.375,-0.037214
3.5,-0.0372544
3.625,-0.0372863
3.75,-0.0373111
3.875,-0.0373302
4,-0.0373448
4.125,-0.0373557
4.25,-0.0373639
4.375,-0.0373698
4.5,-0.0373741
4.625,-0.037377
4.75,-0.037379
4.875,-0.0373802
5,-0.0373808
5.125,-0.0373811
5.25,-0.0373812
5.375,-0.037381
5.5,-0.0373806
5.625,-0.0373802
5.75,-0.0373797
5.875,-0.0373793
6,-0.0373788
