T,Cl
0,0
0.125,-0.000588605
0.25,-0.00134901
0.375,-0.00195659
0.5,-0.0024741
0.625,-0.0029274
0.75,-0.00332608
0.875,-0.00367359
1,-0.00397198
1.125,-0.00422382
1.25,-0.00443218
1.375,-0.00460089
1.5,-0.00473418
1.625,-0.00483621
1.75,-0.00491104
1.875,-0.00496253
2,-0.00499418
2.125,-0.0050093
2.25,-0.0050109
2.375,-0.00500119
2.5,-0.00498311
2.625,-0.00495835
2.75,-0.00492875
2.875,-0.00489596
3,-0.00486124
3.125,-0.00482572
3.25,-0.00479027
3.375,-0.00475555
3.5,-0.00472213
3.625,-0.00469029
3.75,-0.00466005
3.875,-0.00463152
4,-0.0046045
4.125,-0.00457857
4.25,-0.00455298
4.375,-0.00452766
4.5,-0.00450149
4.625,-0.0044737
4.75,-0.00444322
4.875,-0.00440911
5,-0.00437015
5.125,-0.00432511
5.25,-0.00427265
5.375,-0.00421139
5.5,-0.00413989
5.625,-0.00405657
5.75,-0.00395986
5.875,-0.00384815
6,-0.0037197
6.125,-0.00357279
6.25,-0.00340568
6.375,-0.00321644
6.5,-0.00300348
6.625,-0.00276496
6.75,-0.00249928
6.875,-0.00220492
7,-0.00188074
7.125,-0.00152578
7.25,-0.00113949
7.375,-0.000722204
7.5,-0.000274657
7.625,0.000201405
7.75,0.000703379
7.875,0.00122761
8,0.00176953
