T,Cd
0,0
0.125,0.333091
0.25,0.49087
0.375,0.631519
0.5,0.763877
0.625,0.89108
0.75,1.01444
0.875,1.13452
1,1.2515
1.125,1.36537
1.25,1.476
1.375,1.58323
1.5,1.68683
1.625,1.78657
1.75,1.88222
1.875,1.97353
2,2.06027
2.125,2.1422
2.25,2.21909
2.375,2.29073
2.5,2.35692
2.625,2.41748
2.75,2.47222
2.875,2.52099
3,2.56365
3.125,2.60008
3.25,2.63015
3.375,2.65379
3.5,2.67092
3.625,2.68148
3.75,2.68545
3.875,2.68278
4,2.6735
4.125,2.65761
4.25,2.63515
4.375,2.60617
4.5,2.57075
4.625,2.52896
4.75,2.48093
4.875,2.42677
5,2.36662
5.125,2.30065
5.25,2.22901
5.375,2.1519
5.5,2.06953
5.625,1.98211
5.75,1.88987
5.875,1.79306
6,1.69194
6.125,1.58677
6.25,1.47783
6.375,1.36542
6.5,1.24983
6.625,1.13137
6.75,1.01035
6.875,0.887095
7,0.761921
7.125,0.635152
7.25,0.507111
7.375,0.378121
7.5,0.248499
7.625,0.118555
7.75,-0.0114078
7.875,-0.141095
8,-0.270224
