T,Cl
0,0
0.125,-0.000588605
0.25,-0.00127968
0.375,-0.0017891
0.5,-0.00218521
0.625,-0.00249906
0.75,-0.00274846
0.875,-0.00294727
1,-0.00310839
1.125,-0.00324419
1.25,-0.00336633
1.375,-0.0034852
1.5,-0.00360967
1.625,-0.00374695
1.75,-0.00390252
1.875,-0.00408018
2,-0.00428213
2.125,-0.00450919
2.25,-0.0047609
2.375,-0.00503558
2.5,-0.00533062
2.625,-0.00564258
2.75,-0.00596732
2.875,-0.00630019
3,-0.0066362
3.125,-0.0069701
3.25,-0.00729661
3.375,-0.00761045
3.5,-0.00790656
3.625,-0.00818014
3.75,-0.00842681
3.875,-0.00864262
4,-0.0088242
4.125,-0.00896877
4.25,-0.00907417
4.375,-0.00913895
4.5,-0.00916227
4.625,-0.00914399
4.75,-0.00908457
4.875,-0.00898506
5,-0.00884704
5.125,-0.00867251
5.25,-0.00846385
5.375,-0.00822367
5.5,-0.00795473
5.625,-0.00765981
5.75,-0.00734157
5.875,-0.00700251
6,-0.00664472
6.125,-0.00627005
6.25,-0.00587955
6.375,-0.00547392
6.5,-0.00505319
6.625,-0.00461677
6.75,-0.00416354
6.875,-0.0036918
7,-0.00319975
7.125,-0.00268495
7.25,-0.00214533
7.375,-0.00157891
7.5,-0.000984174
7.625,-0.000360206
7.75,0.000292996
7.875,0.000974712
8,0.00168324
