T,Cd
0,0
0.125,0.333091
0.25,0.490869
0.375,0.63153
0.5,0.763907
0.625,0.891104
0.75,1.01439
0.875,1.13429
1,1.25095
1.125,1.36432
1.25,1.47428
1.375,1.58065
1.5,1.68321
1.625,1.78175
1.75,1.87604
1.875,1.96585
2,2.05098
2.125,2.13122
2.25,2.20636
2.375,2.27621
2.5,2.3406
2.625,2.39937
2.75,2.45235
2.875,2.49943
3,2.54046
3.125,2.57534
3.25,2.60399
3.375,2.62631
3.5,2.64226
3.625,2.65178
3.75,2.65485
3.875,2.65145
4,2.64159
4.125,2.62529
4.25,2.60259
4.375,2.57354
4.5,2.53821
4.625,2.49669
4.75,2.44909
4.875,2.39553
5,2.33614
5.125,2.27106
5.25,2.20047
5.375,2.12455
5.5,2.04348
5.625,1.95748
5.75,1.86676
5.875,1.77154
6,1.67208
6.125,1.56863
6.25,1.46143
6.375,1.35077
6.5,1.23692
6.625,1.12016
6.75,1.00078
6.875,0.879081
7,0.755356
7.125,0.629909
7.25,0.503045
7.375,0.375072
7.5,0.246297
7.625,0.117029
7.75,-0.0124222
7.875,-0.141749
8,-0.270643
