T,Cl
0,0
0.0625,-0.00119928
0.125,-0.00216595
0.1875,-0.00301501
0.25,-0.00381114
0.3125,-0.00458059
0.375,-0.0053356
0.4375,-0.00608263
0.5,-0.00682539
0.5625,-0.00756617
0.625,-0.00830643
0.6875,-0.00904712
0.75,-0.00978882
0.8125,-0.0105319
0.875,-0.0112764
0.9375,-0.0120223
1,-0.0127696
1.0625,-0.013518
1.125,-0.0142671
1.1875,-0.0150165
1.25,-0.0157658
1.3125,-0.0165145
1.375,-0.017262
1.4375,-0.0180077
1.5,-0.0187509
1.5625,-0.019491
1.625,-0.0202272
1.6875,-0.0209588
1.75,-0.0216849
1.8125,-0.0224049
1.875,-0.0231179
1.9375,-0.0238232
2,-0.0245196
2.0625,-0.0252066
2.125,-0.0258831
2.1875,-0.0265484
2.25,-0.0272016
2.3125,-0.0278417
2.375,-0.028468
2.4375,-0.0290795
2.5,-0.0296753
2.5625,-0.0302547
2.625,-0.0308168
2.6875,-0.0313607
2.75,-0.0318855
2.8125,-0.0323909
2.875,-0.0328754
2.9375,-0.0333388
3,-0.0337799
3.0625,-0.0341985
3.125,-0.0345936
3.1875,-0.0349645
3.25,-0.0353107
3.3125,-0.0356315
3.375,-0.0359264
3.4375,-0.0361949
3.5,-0.0364365
3.5625,-0.0366507
3.625,-0.036837
3.6875,-0.0369951
3.75,-0.0371247
3.8125,-0.0372254
3.875,-0.037297
3.9375,-0.0373393
4,-0.037352
4.0625,-0.0373351
4.125,-0.0372884
4.1875,-0.0372119
4.25,-0.0371056
4.3125,-0.0369695
4.375,-0.0368038
4.4375,-0.0366085
4.5,-0.0363838
4.5625,-0.0361299
4.625,-0.0358472
4.6875,-0.0355358
4.75,-0.0351962
4.8125,-0.0348287
4.875,-0.0344337
4.9375,-0.0340118
5,-0.0335634
5.0625,-0.033089
5.125,-0.0325894
5.1875,-0.032065
5.25,-0.0315166
5.3125,-0.0309447
5.375,-0.0303503
5.4375,-0.029734
5.5,-0.0290965
5.5625,-0.0284388
5.625,-0.0277616
5.6875,-0.0270659
5.75,-0.0263524
5.8125,-0.0256222
5.875,-0.0248761
5.9375,-0.0241152
6,-0.0233403
6.0625,-0.0225524
6.125,-0.0217526
6.1875,-0.0209419
6.25,-0.0201212
6.3125,-0.0192916
6.375,-0.0184541
6.4375,-0.0176098
6.5,-0.0167597
6.5625,-0.0159047
6.625,-0.015046
6.6875,-0.0141845
6.75,-0.0133213
6.8125,-0.0124574
6.875,-0.0115937
6.9375,-0.0107313
7,-0.00987116
7.0625,-0.00901418
7.125,-0.00816133
7.1875,-0.00731353
7.25,-0.00647168
7.3125,-0.00563668
7.375,-0.00480936
7.4375,-0.00399058
7.5,-0.00318113
7.5625,-0.0023818
7.625,-0.00159334
7.6875,-0.000816492
7.75,-5.19371e-05
7.8125,0.000699652
7.875,0.00143764
7.9375,0.00216142
8,0.00287043
