T,Cd
0,0
0.0625,0.340139
0.125,0.500482
0.1875,0.643912
0.25,0.779984
0.3125,0.912112
0.375,1.04181
0.4375,1.16983
0.5,1.29652
0.5625,1.42206
0.625,1.54652
0.6875,1.66991
0.75,1.79221
0.8125,1.91337
0.875,2.03335
0.9375,2.15208
1,2.2695
1.0625,2.38555
1.125,2.50016
1.1875,2.61327
1.25,2.7248
1.3125,2.83469
1.375,2.94288
1.4375,3.0493
1.5,3.15389
1.5625,3.25658
1.625,3.35731
1.6875,3.45603
1.75,3.55267
1.8125,3.64717
1.875,3.73948
1.9375,3.82954
2,3.91729
2.0625,4.00269
2.125,4.08568
2.1875,4.16621
2.25,4.24424
2.3125,4.31971
2.375,4.39257
2.4375,4.4628
2.5,4.53033
2.5625,4.59514
2.625,4.65718
2.6875,4.71641
2.75,4.7728
2.8125,4.82631
2.875,4.87691
2.9375,4.92458
3,4.96927
3.0625,5.01097
3.125,5.04965
3.1875,5.08528
3.25,5.11784
3.3125,5.14732
3.375,5.17369
3.4375,5.19694
3.5,5.21706
3.5625,5.23402
3.625,5.24783
3.6875,5.25847
3.75,5.26594
3.8125,5.27023
3.875,5.27134
3.9375,5.26927
4,5.26402
4.0625,5.25559
4.125,5.24399
4.1875,5.22923
4.25,5.2113
4.3125,5.19024
4.375,5.16604
4.4375,5.13872
4.5,5.1083
4.5625,5.0748
4.625,5.03824
4.6875,4.99863
4.75,4.95602
4.8125,4.91041
4.875,4.86183
4.9375,4.81033
5,4.75592
5.0625,4.69865
5.125,4.63854
5.1875,4.57563
5.25,4.50997
5.3125,4.44159
5.375,4.37052
5.4375,4.29683
5.5,4.22055
5.5625,4.14172
5.625,4.0604
5.6875,3.97663
5.75,3.89047
5.8125,3.80197
5.875,3.71117
5.9375,3.61815
6,3.52294
6.0625,3.42562
6.125,3.32624
6.1875,3.22486
6.25,3.12154
6.3125,3.01634
6.375,2.90933
6.4375,2.80058
6.5,2.69014
6.5625,2.57809
6.625,2.46449
6.6875,2.34942
6.75,2.23294
6.8125,2.11512
6.875,1.99603
6.9375,1.87575
7,1.75435
7.0625,1.6319
7.125,1.50847
7.1875,1.38415
7.25,1.259
7.3125,1.1331
7.375,1.00653
7.4375,0.879367
7.5,0.75168
7.5625,0.62355
7.625,0.495055
7.6875,0.366271
7.75,0.237277
7.8125,0.10815
7.875,-0.0210319
7.9375,-0.150191
8,-0.27925
