T,Cl
0,0
0.125,-0.00119891
0.25,-0.00216916
0.375,-0.00304601
0.5,-0.00389099
0.625,-0.00472635
0.75,-0.00556164
0.875,-0.00640168
1,-0.0072492
1.125,-0.0081058
1.25,-0.00897197
1.375,-0.0098473
1.5,-0.0107305
1.625,-0.0116195
1.75,-0.0125114
1.875,-0.0134027
2,-0.0142892
2.125,-0.0151664
2.25,-0.0160296
2.375,-0.0168733
2.5,-0.0176925
2.625,-0.0184815
2.75,-0.0192348
2.875,-0.0199472
3,-0.0206131
3.125,-0.0212275
3.25,-0.0217855
3.375,-0.0222823
3.5,-0.0227136
3.625,-0.0230756
3.75,-0.0233645
3.875,-0.0235775
4,-0.0237117
4.125,-0.0237652
4.25,-0.0237364
4.375,-0.0236243
4.5,-0.0234283
4.625,-0.0231488
4.75,-0.0227863
4.875,-0.0223421
5,-0.0218182
5.125,-0.021217
5.25,-0.0205414
5.375,-0.019795
5.5,-0.0189817
5.625,-0.0181062
5.75,-0.0171733
5.875,-0.0161883
6,-0.0151569
6.125,-0.0140851
6.25,-0.0129791
6.375,-0.0118453
6.5,-0.0106904
6.625,-0.00952083
6.75,-0.00834341
6.875,-0.00716475
7,-0.00599138
7.125,-0.00482969
7.25,-0.00368588
7.375,-0.00256586
7.5,-0.00147528
7.625,-0.000419411
7.75,0.000596828
7.875,0.00156893
8,0.00249282
