T,Cd
0,0
0.125,0.303976
0.25,1.15469
0.375,2.46789
0.5,4.19081
0.625,6.25698
0.75,8.58699
0.875,11.0913
1,13.6737
1.125,16.235
1.25,18.6768
1.375,20.9052
1.5,22.8345
1.625,24.3905
1.75,25.5135
1.875,26.1601
2,26.3056
2.125,26.2483
2.25,26.2451
2.375,26.2446
2.5,26.2445
2.625,26.2444
2.75,26.2444
2.875,26.2444
3,26.2444
3.125,26.2444
3.25,26.2444
3.375,26.2444
3.5,26.2444
3.625,26.2444
3.75,26.2444
3.875,26.2444
4,26.2444
4.125,26.2444
4.25,26.2444
4.375,26.2444
4.5,26.2444
4.625,26.2444
4.75,26.2444
4.875,26.2444
5,26.2444
5.125,26.2444
5.25,26.2444
5.375,26.2444
5.5,26.2444
5.625,26.2444
5.75,26.2444
5.875,26.2444
6,26.2444
