T,Cd
0,0
0.125,0.340037
0.25,0.499741
0.375,0.641657
0.5,0.775086
0.625,0.903201
0.75,1.02729
0.875,1.14788
1,1.26512
1.125,1.37897
1.25,1.4893
1.375,1.59594
1.5,1.69868
1.625,1.79729
1.75,1.89157
1.875,1.98129
2,2.06624
2.125,2.14622
2.25,2.22104
2.375,2.29052
2.5,2.35448
2.625,2.41277
2.75,2.46524
2.875,2.51177
3,2.55224
3.125,2.58655
3.25,2.6146
3.375,2.63634
3.5,2.65171
3.625,2.66066
3.75,2.66318
3.875,2.65925
4,2.64888
4.125,2.6321
4.25,2.60895
4.375,2.57948
4.5,2.54376
4.625,2.50189
4.75,2.45396
4.875,2.4001
5,2.34043
5.125,2.2751
5.25,2.20427
5.375,2.12812
5.5,2.04684
5.625,1.96062
5.75,1.86967
5.875,1.77423
6,1.67452
6.125,1.57079
6.25,1.46329
6.375,1.35229
6.5,1.23805
6.625,1.12086
6.75,1.001
6.875,0.878758
7,0.75444
7.125,0.628342
7.25,0.500772
7.375,0.372037
7.5,0.242448
7.625,0.112319
7.75,-0.0180363
7.875,-0.148305
8,-0.278173
