T,Cl
0,0
0.03125,-1.29958e-07
0.0625,-2.9755e-06
0.09375,-1.10294e-05
0.125,-2.41295e-05
0.15625,-4.17302e-05
0.1875,-6.30615e-05
0.21875,-8.72596e-05
0.25,-0.000113493
0.28125,-0.00014109
0.3125,-0.000169608
0.34375,-0.000198946
0.375,-0.00022937
0.40625,-0.000261562
0.4375,-0.000296618
0.46875,-0.000335925
0.5,-0.000381305
0.53125,-0.000434581
0.5625,-0.000497676
0.59375,-0.000572334
0.625,-0.00065997
0.65625,-0.000761517
0.6875,-0.000877391
0.71875,-0.0010073
0.75,-0.00115044
0.78125,-0.00130545
0.8125,-0.00147061
0.84375,-0.00164405
0.875,-0.0018238
0.90625,-0.00200807
0.9375,-0.00219526
0.96875,-0.00238405
1,-0.00257337
1.03125,-0.00276236
1.0625,-0.00295044
1.09375,-0.00313721
1.125,-0.00332249
1.15625,-0.00350603
1.1875,-0.0036875
1.21875,-0.00386649
1.25,-0.00404149
1.28125,-0.00421092
1.3125,-0.00437188
1.34375,-0.00452085
1.375,-0.00465328
1.40625,-0.00476445
1.4375,-0.00484902
1.46875,-0.0049019
1.5,-0.00491842
1.53125,-0.00489493
1.5625,-0.00482898
1.59375,-0.0047197
1.625,-0.00456806
1.65625,-0.00437697
1.6875,-0.00415115
1.71875,-0.00389692
1.75,-0.00362214
1.78125,-0.00333552
1.8125,-0.00304653
1.84375,-0.00276452
1.875,-0.00249856
1.90625,-0.00225694
1.9375,-0.00204681
1.96875,-0.00187375
2,-0.00174205
2.03125,-0.00165526
2.0625,-0.00159536
2.09375,-0.00154736
2.125,-0.00151918
2.15625,-0.00151763
2.1875,-0.00154461
2.21875,-0.00159736
2.25,-0.0016708
2.28125,-0.00175911
2.3125,-0.00185675
2.34375,-0.00195957
2.375,-0.00206387
2.40625,-0.00216774
2.4375,-0.00226913
2.46875,-0.00236734
2.5,-0.0024614
2.53125,-0.00255115
2.5625,-0.00263614
2.59375,-0.00271638
2.625,-0.00279179
2.65625,-0.00286237
2.6875,-0.00292826
2.71875,-0.00298957
2.75,-0.00304649
2.78125,-0.00309916
2.8125,-0.00314788
2.84375,-0.00319281
2.875,-0.00323424
2.90625,-0.00327235
2.9375,-0.00330751
2.96875,-0.00333981
3,-0.00336957
3.03125,-0.00339701
3.0625,-0.00342233
3.09375,-0.00344573
3.125,-0.00346741
3.15625,-0.00348751
3.1875,-0.00350624
3.21875,-0.00352367
3.25,-0.00354028
3.28125,-0.00355529
3.3125,-0.00357014
3.34375,-0.00358341
3.375,-0.00359661
3.40625,-0.00360901
3.4375,-0.00362086
3.46875,-0.00363225
3.5,-0.00364317
3.53125,-0.00365384
3.5625,-0.0036641
3.59375,-0.00367411
3.625,-0.0036839
3.65625,-0.00369348
3.6875,-0.00370292
3.71875,-0.00371219
3.75,-0.00372137
3.78125,-0.00373047
3.8125,-0.00373949
3.84375,-0.00374846
3.875,-0.00375742
3.90625,-0.00376637
3.9375,-0.00377533
3.96875,-0.0037843
4,-0.00379331
4.03125,-0.00380235
4.0625,-0.00381148
4.09375,-0.00382065
4.125,-0.00382992
4.15625,-0.00383922
4.1875,-0.00384866
4.21875,-0.00385819
4.25,-0.00386783
4.28125,-0.00387757
4.3125,-0.00388744
4.34375,-0.00389738
4.375,-0.0039075
4.40625,-0.00391775
4.4375,-0.00392811
4.46875,-0.00393862
4.5,-0.00394926
4.53125,-0.00396002
4.5625,-0.00397096
4.59375,-0.00398202
4.625,-0.00399324
4.65625,-0.00400459
4.6875,-0.00401616
4.71875,-0.00402771
4.75,-0.00403956
4.78125,-0.00405152
4.8125,-0.00406367
4.84375,-0.00407584
4.875,-0.00408825
4.90625,-0.00410084
4.9375,-0.00411351
4.96875,-0.00412636
5,-0.00413934
5.03125,-0.00415248
5.0625,-0.00416576
5.09375,-0.00417918
5.125,-0.00419274
5.15625,-0.00420644
5.1875,-0.00422029
5.21875,-0.00423427
5.25,-0.00424838
5.28125,-0.00426263
5.3125,-0.00427701
5.34375,-0.00429152
5.375,-0.00430616
5.40625,-0.00432091
5.4375,-0.00433584
5.46875,-0.00435082
5.5,-0.00436605
5.53125,-0.00438114
5.5625,-0.00439661
5.59375,-0.00441207
5.625,-0.00442774
5.65625,-0.0044433
5.6875,-0.00445929
5.71875,-0.00447502
5.75,-0.00449115
5.78125,-0.00450722
5.8125,-0.00452349
5.84375,-0.00453977
5.875,-0.00455621
5.90625,-0.00457271
5.9375,-0.00458937
5.96875,-0.00460597
6,-0.00462278
6.03125,-0.00463965
6.0625,-0.00465656
6.09375,-0.00467359
6.125,-0.00469069
6.15625,-0.00470786
6.1875,-0.00472513
6.21875,-0.00474242
6.25,-0.00475979
6.28125,-0.00477724
6.3125,-0.00479475
6.34375,-0.00481233
6.375,-0.00482998
6.40625,-0.00484767
6.4375,-0.00486542
6.46875,-0.00488322
6.5,-0.00490108
6.53125,-0.00491899
6.5625,-0.00493695
6.59375,-0.00495495
6.625,-0.00497301
6.65625,-0.0049911
6.6875,-0.00500923
6.71875,-0.0050274
6.75,-0.00504561
6.78125,-0.00506386
6.8125,-0.00508214
6.84375,-0.00510045
6.875,-0.00511877
6.90625,-0.00513719
6.9375,-0.00515554
6.96875,-0.00517399
7,-0.00519243
7.03125,-0.00521093
7.0625,-0.0052294
7.09375,-0.00524791
7.125,-0.00526646
7.15625,-0.00528499
7.1875,-0.00530356
7.21875,-0.00532212
7.25,-0.00534072
7.28125,-0.00535931
7.3125,-0.00537792
7.34375,-0.00539653
7.375,-0.00541515
7.40625,-0.00543378
7.4375,-0.00545241
7.46875,-0.00547104
7.5,-0.00548967
7.53125,-0.00550831
7.5625,-0.00552694
7.59375,-0.00554557
7.625,-0.00556415
7.65625,-0.00558288
7.6875,-0.0056013
7.71875,-0.00562021
7.75,-0.00563853
7.78125,-0.00565739
7.8125,-0.00567572
7.84375,-0.00569457
7.875,-0.00571279
7.90625,-0.00573177
7.9375,-0.00574989
7.96875,-0.00576883
8,-0.00578695
8.03125,-0.00580584
8.0625,-0.00582418
8.09375,-0.00584246
8.125,-0.00586103
8.15625,-0.00587946
8.1875,-0.00589776
8.21875,-0.00591635
8.25,-0.00593452
8.28125,-0.00595295
8.3125,-0.00597138
8.34375,-0.00598973
8.375,-0.00600776
8.40625,-0.00602598
8.4375,-0.00604431
8.46875,-0.00606263
8.5,-0.00608082
8.53125,-0.00609897
8.5625,-0.006117
8.59375,-0.00613507
8.625,-0.00615326
8.65625,-0.00617117
8.6875,-0.00618934
8.71875,-0.00620714
8.75,-0.00622528
8.78125,-0.006243
8.8125,-0.00626086
8.84375,-0.00627888
8.875,-0.00629652
8.90625,-0.00631445
8.9375,-0.00633203
8.96875,-0.00634984
9,-0.00636741
9.03125,-0.00638513
9.0625,-0.00640271
9.09375,-0.00642027
9.125,-0.00643777
9.15625,-0.00645524
9.1875,-0.00647278
9.21875,-0.00649019
9.25,-0.00650749
9.28125,-0.00652493
9.3125,-0.0065422
9.34375,-0.00655941
9.375,-0.00657673
9.40625,-0.0065939
9.4375,-0.00661097
9.46875,-0.00662815
9.5,-0.00664521
9.53125,-0.00666216
9.5625,-0.00667921
9.59375,-0.00669616
9.625,-0.00671299
9.65625,-0.00672991
9.6875,-0.00674669
9.71875,-0.00676352
9.75,-0.00678019
9.78125,-0.00679695
9.8125,-0.00681359
9.84375,-0.00683015
9.875,-0.00684673
9.90625,-0.0068633
9.9375,-0.00687973
9.96875,-0.00689651
10,-0.00691269
10.0312,-0.00692897
10.0625,-0.00694529
10.0938,-0.00696188
10.125,-0.00697781
10.1562,-0.006994
10.1875,-0.00701013
10.2188,-0.00702653
10.25,-0.00704235
10.2812,-0.00705832
10.3125,-0.00707428
10.3438,-0.00709046
10.375,-0.00710609
10.4062,-0.00712194
10.4375,-0.00713772
10.4688,-0.0071537
10.5,-0.00716922
10.5312,-0.00718484
10.5625,-0.00720046
10.5938,-0.00721602
10.625,-0.00723171
10.6562,-0.00724717
10.6875,-0.00726252
10.7188,-0.00727788
10.75,-0.00729323
10.7812,-0.00730863
10.8125,-0.00732378
10.8438,-0.00733901
10.875,-0.00735427
10.9062,-0.00736932
10.9375,-0.00738439
10.9688,-0.00739942
11,-0.0074145
11.0312,-0.00742938
11.0625,-0.00744427
11.0938,-0.00745913
11.125,-0.00747394
11.1562,-0.00748881
11.1875,-0.00750342
11.2188,-0.00751813
11.25,-0.00753277
11.2812,-0.00754736
11.3125,-0.00756199
11.3438,-0.00757642
11.375,-0.00759092
11.4062,-0.0076053
11.4375,-0.00761964
11.4688,-0.00763402
11.5,-0.00764827
11.5312,-0.00766255
11.5625,-0.00767669
11.5938,-0.00769098
11.625,-0.00770497
11.6562,-0.00771907
11.6875,-0.0077331
11.7188,-0.00774704
11.75,-0.007761
11.7812,-0.00777489
11.8125,-0.00778874
11.8438,-0.00780254
11.875,-0.0078163
11.9062,-0.00783003
11.9375,-0.0078437
11.9688,-0.00785738
12,-0.00787094
12.0312,-0.00788448
12.0625,-0.00789793
12.0938,-0.00791148
12.125,-0.00792482
12.1562,-0.00793828
12.1875,-0.00795153
12.2188,-0.00796491
12.25,-0.00797807
12.2812,-0.00799137
12.3125,-0.00800447
12.3438,-0.00801763
12.375,-0.00803068
12.4062,-0.00804375
12.4375,-0.00805673
12.4688,-0.00807029
12.5,-0.00808269
12.5312,-0.00809549
12.5625,-0.00810836
12.5938,-0.00812113
12.625,-0.00813389
12.6562,-0.00814659
12.6875,-0.00815925
12.7188,-0.00817187
12.75,-0.00818446
12.7812,-0.008197
12.8125,-0.0082095
12.8438,-0.00822196
12.875,-0.00823438
12.9062,-0.00824676
12.9375,-0.0082591
12.9688,-0.0082714
13,-0.00828428
13.0312,-0.00829596
13.0625,-0.00830813
13.0938,-0.00832026
13.125,-0.00833235
13.1562,-0.0083444
13.1875,-0.00835642
13.2188,-0.0083684
13.25,-0.00838034
13.2812,-0.00839224
13.3125,-0.0084041
13.3438,-0.00841593
13.375,-0.00842771
13.4062,-0.00843946
13.4375,-0.00845117
13.4688,-0.00846284
13.5,-0.00847447
13.5312,-0.00848606
13.5625,-0.00849762
13.5938,-0.00850966
13.625,-0.00852067
13.6562,-0.00853211
13.6875,-0.0085435
13.7188,-0.00855486
13.75,-0.00856619
13.7812,-0.00857747
13.8125,-0.00858872
13.8438,-0.00859994
13.875,-0.00861111
13.9062,-0.00862225
13.9375,-0.00863336
13.9688,-0.00864442
14,-0.00865545
14.0312,-0.00866644
14.0625,-0.0086774
14.0938,-0.00868832
14.125,-0.00869968
14.1562,-0.00871012
14.1875,-0.00872092
14.2188,-0.00873169
14.25,-0.00874242
14.2812,-0.00875312
14.3125,-0.00876379
14.3438,-0.00877442
14.375,-0.00878501
14.4062,-0.00879558
14.4375,-0.0088061
14.4688,-0.00881659
14.5,-0.00882705
14.5312,-0.00883747
14.5625,-0.00884786
14.5938,-0.00885821
14.625,-0.00886852
14.6562,-0.00887923
14.6875,-0.00888912
14.7188,-0.00889931
14.75,-0.00890949
14.7812,-0.00891963
14.8125,-0.00892974
14.8438,-0.00893982
14.875,-0.00894986
14.9062,-0.00895987
14.9375,-0.00896984
14.9688,-0.00897979
15,-0.0089897
15.0312,-0.00899957
15.0625,-0.00900942
15.0938,-0.00901923
15.125,-0.00902901
15.1562,-0.00903912
15.1875,-0.0090485
15.2188,-0.0090582
15.25,-0.00906783
15.2812,-0.00907744
15.3125,-0.00908702
15.3438,-0.00909657
15.375,-0.00910608
15.4062,-0.00911557
15.4375,-0.00912502
15.4688,-0.00913444
15.5,-0.00914383
15.5312,-0.00915319
15.5625,-0.00916252
15.5938,-0.00917211
15.625,-0.00918088
15.6562,-0.00919054
15.6875,-0.00919963
15.7188,-0.0092087
15.75,-0.00921786
15.7812,-0.00922697
15.8125,-0.00923605
15.8438,-0.00924509
15.875,-0.00925411
15.9062,-0.0092631
15.9375,-0.00927206
15.9688,-0.00928098
16,-0.00928988
16.0312,-0.00929875
16.0625,-0.00930759
16.0938,-0.00931664
16.125,-0.00932519
16.1562,-0.00933394
16.1875,-0.00934267
16.2188,-0.00935136
16.25,-0.00936001
16.2812,-0.00936864
16.3125,-0.00937724
16.3438,-0.00938582
16.375,-0.00939436
16.4062,-0.00940288
16.4375,-0.00941136
16.4688,-0.00941982
16.5,-0.00942846
16.5312,-0.00943652
16.5625,-0.00944516
16.5938,-0.00945346
16.625,-0.00946171
16.6562,-0.00947
16.6875,-0.00947826
16.7188,-0.00948649
16.75,-0.00949469
16.7812,-0.00950287
16.8125,-0.00951102
16.8438,-0.00951914
16.875,-0.00952724
16.9062,-0.00953548
16.9375,-0.00954335
16.9688,-0.00955138
17,-0.00955936
17.0312,-0.00956732
17.0625,-0.00957525
17.0938,-0.00958315
17.125,-0.00959103
17.1562,-0.00959888
17.1875,-0.00960671
17.2188,-0.00961451
17.25,-0.00962228
17.2812,-0.00963003
17.3125,-0.00963775
17.3438,-0.00964545
17.375,-0.0096533
17.4062,-0.00966082
17.4375,-0.00966839
17.4688,-0.00967599
17.5,-0.00968355
17.5312,-0.00969109
17.5625,-0.0096986
17.5938,-0.00970609
17.625,-0.00971356
17.6562,-0.009721
17.6875,-0.00972841
17.7188,-0.0097358
17.75,-0.00974316
17.7812,-0.0097505
17.8125,-0.00975782
17.8438,-0.00976528
17.875,-0.00977238
17.9062,-0.00977964
17.9375,-0.00978684
17.9688,-0.00979404
18,-0.0098012
18.0312,-0.00980835
18.0625,-0.00981547
18.0938,-0.00982256
18.125,-0.00982963
18.1562,-0.00983668
18.1875,-0.0098437
18.2188,-0.0098507
18.25,-0.00985768
18.2812,-0.00986463
18.3125,-0.00987156
18.3438,-0.00987847
18.375,-0.00988535
18.4062,-0.00989221
18.4375,-0.00989923
18.4688,-0.00990574
18.5,-0.00991279
18.5312,-0.00991948
18.5625,-0.0099262
18.5938,-0.00993291
18.625,-0.00993961
18.6562,-0.00994628
18.6875,-0.00995294
18.7188,-0.00995957
18.75,-0.00996618
18.7812,-0.00997277
18.8125,-0.00997933
18.8438,-0.00998587
18.875,-0.00999239
18.9062,-0.00999889
18.9375,-0.0100054
18.9688,-0.0100118
19,-0.0100183
19.0312,-0.0100247
19.0625,-0.0100311
19.0938,-0.0100374
19.125,-0.0100438
19.1562,-0.0100501
19.1875,-0.0100564
19.2188,-0.0100627
19.25,-0.010069
19.2812,-0.0100752
19.3125,-0.0100814
19.3438,-0.0100876
19.375,-0.0100938
19.4062,-0.0101
19.4375,-0.0101061
19.4688,-0.0101122
19.5,-0.0101183
19.5312,-0.0101244
19.5625,-0.0101304
19.5938,-0.0101365
19.625,-0.0101425
19.6562,-0.0101485
19.6875,-0.0101544
19.7188,-0.0101604
