T,Cd
0,0
0.03125,0.0066633
0.0625,0.0207165
0.09375,0.0360748
0.125,0.0524957
0.15625,0.0698143
0.1875,0.0879042
0.21875,0.10666
0.25,0.125991
0.28125,0.145813
0.3125,0.16605
0.34375,0.186628
0.375,0.207476
0.40625,0.228525
0.4375,0.249705
0.46875,0.270946
0.5,0.292178
0.53125,0.313329
0.5625,0.334326
0.59375,0.355097
0.625,0.375572
0.65625,0.395682
0.6875,0.415365
0.71875,0.434564
0.75,0.453228
0.78125,0.471315
0.8125,0.488787
0.84375,0.505617
0.875,0.521779
0.90625,0.537255
0.9375,0.552029
0.96875,0.566085
1,0.579406
1.03125,0.591993
1.0625,0.60379
1.09375,0.614811
1.125,0.625021
1.15625,0.634397
1.1875,0.642909
1.21875,0.650527
1.25,0.65722
1.28125,0.662955
1.3125,0.667697
1.34375,0.671418
1.375,0.674085
1.40625,0.67567
1.4375,0.676148
1.46875,0.675496
1.5,0.673696
1.53125,0.670735
1.5625,0.666601
1.59375,0.661292
1.625,0.654806
1.65625,0.647149
1.6875,0.63833
1.71875,0.628365
1.75,0.617273
1.78125,0.605078
1.8125,0.591812
1.84375,0.577504
1.875,0.562195
1.90625,0.545923
1.9375,0.528733
1.96875,0.510674
2,0.491796
2.03125,0.478918
2.0625,0.472893
2.09375,0.467598
2.125,0.462763
2.15625,0.458268
2.1875,0.454049
2.21875,0.450074
2.25,0.44632
2.28125,0.442769
2.3125,0.439402
2.34375,0.436215
2.375,0.433179
2.40625,0.430299
2.4375,0.427556
2.46875,0.424943
2.5,0.422457
2.53125,0.420081
2.5625,0.417813
2.59375,0.415646
2.625,0.413571
2.65625,0.411585
2.6875,0.40968
2.71875,0.407852
2.75,0.406095
2.78125,0.404407
2.8125,0.402781
2.84375,0.401218
2.875,0.399709
2.90625,0.398255
2.9375,0.396853
2.96875,0.395499
3,0.39419
3.03125,0.392928
3.0625,0.391706
3.09375,0.390526
3.125,0.389384
3.15625,0.388278
3.1875,0.387208
3.21875,0.386172
3.25,0.385172
3.28125,0.384199
3.3125,0.383258
3.34375,0.382346
3.375,0.381462
3.40625,0.380605
3.4375,0.379775
3.46875,0.378967
3.5,0.378182
3.53125,0.377431
3.5625,0.37669
3.59375,0.375975
3.625,0.375281
3.65625,0.374606
3.6875,0.373951
3.71875,0.373315
3.75,0.372696
3.78125,0.372095
3.8125,0.371511
3.84375,0.370944
3.875,0.370393
3.90625,0.369854
3.9375,0.369334
3.96875,0.368824
4,0.368331
4.03125,0.36785
4.0625,0.367382
4.09375,0.366927
4.125,0.366483
4.15625,0.36605
4.1875,0.365634
4.21875,0.365222
4.25,0.364823
4.28125,0.364437
4.3125,0.364057
4.34375,0.36369
4.375,0.36333
4.40625,0.36298
4.4375,0.362639
4.46875,0.362308
4.5,0.361983
4.53125,0.361666
4.5625,0.361361
4.59375,0.36106
4.625,0.360767
4.65625,0.36048
4.6875,0.360203
4.71875,0.359931
4.75,0.359665
4.78125,0.359411
4.8125,0.359153
4.84375,0.358909
4.875,0.35867
4.90625,0.358436
4.9375,0.358206
4.96875,0.357983
5,0.357764
5.03125,0.357552
5.0625,0.357343
5.09375,0.357141
5.125,0.356943
5.15625,0.356749
5.1875,0.35656
5.21875,0.356375
5.25,0.356195
5.28125,0.356018
5.3125,0.355846
5.34375,0.355677
5.375,0.355514
5.40625,0.355352
5.4375,0.355196
5.46875,0.35504
5.5,0.354894
5.53125,0.354744
5.5625,0.354603
5.59375,0.35446
5.625,0.354327
5.65625,0.354188
5.6875,0.354061
5.71875,0.353931
5.75,0.353807
5.78125,0.353683
5.8125,0.353564
5.84375,0.353446
5.875,0.353331
5.90625,0.353218
5.9375,0.353109
5.96875,0.353001
6,0.352896
6.03125,0.352794
6.0625,0.352692
6.09375,0.352593
6.125,0.352497
6.15625,0.352402
6.1875,0.35231
6.21875,0.352219
6.25,0.352131
6.28125,0.352044
6.3125,0.351959
6.34375,0.351875
6.375,0.351794
6.40625,0.351713
6.4375,0.351635
6.46875,0.351559
6.5,0.351484
6.53125,0.35141
6.5625,0.351338
6.59375,0.351268
6.625,0.351198
6.65625,0.351131
6.6875,0.351064
6.71875,0.350999
6.75,0.350935
6.78125,0.350873
6.8125,0.350811
6.84375,0.350751
6.875,0.350693
6.90625,0.350634
6.9375,0.350578
6.96875,0.350522
7,0.350468
7.03125,0.350415
7.0625,0.350362
7.09375,0.350311
7.125,0.35026
7.15625,0.350211
7.1875,0.350163
7.21875,0.350115
7.25,0.350068
7.28125,0.350023
7.3125,0.349978
7.34375,0.349934
7.375,0.349891
7.40625,0.349848
7.4375,0.349807
7.46875,0.349766
7.5,0.349726
7.53125,0.349686
7.5625,0.349648
7.59375,0.34961
7.625,0.349573
7.65625,0.349536
7.6875,0.349501
7.71875,0.349465
7.75,0.34943
7.78125,0.349396
7.8125,0.349363
7.84375,0.34933
7.875,0.349298
7.90625,0.349266
7.9375,0.349236
7.96875,0.349205
8,0.349175
8.03125,0.349145
8.0625,0.349117
8.09375,0.349088
8.125,0.34906
8.15625,0.349033
8.1875,0.349006
8.21875,0.348979
8.25,0.348953
8.28125,0.348928
8.3125,0.348902
8.34375,0.348878
8.375,0.348854
8.40625,0.34883
8.4375,0.348806
8.46875,0.348783
8.5,0.34876
8.53125,0.348738
8.5625,0.348716
8.59375,0.348695
8.625,0.348673
8.65625,0.348652
8.6875,0.348632
8.71875,0.348612
8.75,0.348592
8.78125,0.348572
8.8125,0.348553
8.84375,0.348534
8.875,0.348515
8.90625,0.348497
8.9375,0.348479
8.96875,0.348461
9,0.348444
9.03125,0.348427
9.0625,0.34841
9.09375,0.348393
9.125,0.348377
9.15625,0.34836
9.1875,0.348344
9.21875,0.348329
9.25,0.348313
9.28125,0.348298
9.3125,0.348283
9.34375,0.348269
9.375,0.348254
9.40625,0.34824
9.4375,0.348226
9.46875,0.348212
9.5,0.348198
9.53125,0.348185
9.5625,0.348172
9.59375,0.348159
9.625,0.348146
9.65625,0.348133
9.6875,0.348121
9.71875,0.348108
9.75,0.348096
9.78125,0.348084
9.8125,0.348072
9.84375,0.348061
9.875,0.348049
9.90625,0.348038
9.9375,0.348027
9.96875,0.348016
10,0.348005
10.0312,0.347995
10.0625,0.347984
10.0938,0.347974
10.125,0.347964
10.1562,0.347953
10.1875,0.347944
10.2188,0.347934
10.25,0.347924
10.2812,0.347915
10.3125,0.347905
10.3438,0.347896
10.375,0.347887
10.4062,0.347878
10.4375,0.347869
10.4688,0.34786
10.5,0.347851
10.5312,0.347843
10.5625,0.347834
10.5938,0.347826
10.625,0.347818
10.6562,0.34781
10.6875,0.347802
10.7188,0.347794
10.75,0.347786
10.7812,0.347778
10.8125,0.347771
10.8438,0.347763
10.875,0.347756
10.9062,0.347748
10.9375,0.347741
10.9688,0.347734
11,0.347727
11.0312,0.34772
11.0625,0.347713
11.0938,0.347706
11.125,0.347699
11.1562,0.347693
11.1875,0.347686
11.2188,0.34768
11.25,0.347673
11.2812,0.347667
11.3125,0.347661
11.3438,0.347654
11.375,0.347648
11.4062,0.347642
11.4375,0.347636
11.4688,0.34763
11.5,0.347624
11.5312,0.347619
11.5625,0.347613
11.5938,0.347607
11.625,0.347602
11.6562,0.347596
11.6875,0.347591
11.7188,0.347585
11.75,0.34758
11.7812,0.347575
11.8125,0.34757
11.8438,0.347564
11.875,0.347559
11.9062,0.347554
11.9375,0.347549
11.9688,0.347544
12,0.347539
12.0312,0.347535
12.0625,0.34753
12.0938,0.347525
12.125,0.34752
12.1562,0.347516
12.1875,0.347511
12.2188,0.347507
12.25,0.347502
12.2812,0.347498
12.3125,0.347493
12.3438,0.347489
12.375,0.347484
12.4062,0.34748
12.4375,0.347476
12.4688,0.347472
12.5,0.347468
12.5312,0.347464
12.5625,0.347459
12.5938,0.347455
12.625,0.347451
12.6562,0.347447
12.6875,0.347444
12.7188,0.34744
12.75,0.347436
12.7812,0.347432
12.8125,0.347428
12.8438,0.347424
12.875,0.347421
12.9062,0.347417
12.9375,0.347413
12.9688,0.34741
13,0.347406
13.0312,0.347403
13.0625,0.347399
13.0938,0.347396
13.125,0.347392
13.1562,0.347389
13.1875,0.347386
13.2188,0.347382
13.25,0.347379
13.2812,0.347376
13.3125,0.347372
13.3438,0.347369
13.375,0.347366
13.4062,0.347363
13.4375,0.34736
13.4688,0.347356
13.5,0.347353
13.5312,0.34735
13.5625,0.347347
13.5938,0.347344
13.625,0.347341
13.6562,0.347338
13.6875,0.347335
13.7188,0.347332
13.75,0.347329
13.7812,0.347326
13.8125,0.347324
13.8438,0.347321
13.875,0.347318
13.9062,0.347315
13.9375,0.347312
13.9688,0.34731
14,0.347307
14.0312,0.347304
14.0625,0.347301
14.0938,0.347299
14.125,0.347296
14.1562,0.347294
14.1875,0.347291
14.2188,0.347288
14.25,0.347286
14.2812,0.347283
14.3125,0.347281
14.3438,0.347278
14.375,0.347276
14.4062,0.347273
14.4375,0.347271
14.4688,0.347268
14.5,0.347266
14.5312,0.347263
14.5625,0.347261
14.5938,0.347259
14.625,0.347256
14.6562,0.347254
14.6875,0.347252
14.7188,0.347249
14.75,0.347247
14.7812,0.347245
14.8125,0.347243
14.8438,0.34724
14.875,0.347238
14.9062,0.347236
14.9375,0.347234
14.9688,0.347232
15,0.347229
15.0312,0.347227
15.0625,0.347225
15.0938,0.347223
15.125,0.347221
15.1562,0.347219
15.1875,0.347217
15.2188,0.347215
15.25,0.347213
15.2812,0.34721
15.3125,0.347208
15.3438,0.347206
15.375,0.347204
15.4062,0.347202
