T,Cl
0,0
0.125,-0.000743849
0.25,-0.00140058
0.375,-0.0020014
0.5,-0.00257416
0.625,-0.0031282
0.75,-0.00367072
0.875,-0.00420768
1,-0.00474351
1.125,-0.00528097
1.25,-0.00582144
1.375,-0.0063651
1.5,-0.00691123
1.625,-0.00745839
1.75,-0.00800454
1.875,-0.00854721
2,-0.00908361
2.125,-0.00961064
2.25,-0.010125
2.375,-0.0106234
2.5,-0.0111024
2.625,-0.0115583
2.75,-0.0119879
2.875,-0.0123877
3,-0.0127545
3.125,-0.0130852
3.25,-0.0133768
3.375,-0.0136268
3.5,-0.0138326
3.625,-0.0139921
3.75,-0.0141035
3.875,-0.0141653
4,-0.0141763
4.125,-0.0141356
4.25,-0.0140428
4.375,-0.0138979
4.5,-0.0137011
4.625,-0.0134531
4.75,-0.0131549
4.875,-0.0128081
5,-0.0124143
5.125,-0.0119757
5.25,-0.0114947
5.375,-0.010974
5.5,-0.0104169
5.625,-0.00982641
5.75,-0.00920623
5.875,-0.00856008
6,-0.00789186
