T,Cd
0,0
0.125,0.192689
0.25,0.712314
0.375,1.48469
0.5,2.47632
0.625,3.6483
0.75,4.95537
0.875,6.34723
1,7.77035
1.125,9.17002
1.25,10.4925
1.375,11.6869
1.5,12.7073
1.625,13.5146
1.75,14.0778
1.875,14.3752
2,14.3954
2.125,14.3302
2.25,14.3239
2.375,14.3224
2.5,14.3219
2.625,14.3217
2.75,14.3216
2.875,14.3216
3,14.3216
3.125,14.3215
3.25,14.3215
3.375,14.3215
3.5,14.3215
3.625,14.3215
3.75,14.3215
3.875,14.3215
4,14.3215
4.125,14.3215
4.25,14.3215
4.375,14.3215
4.5,14.3215
4.625,14.3215
4.75,14.3215
4.875,14.3215
5,14.3215
5.125,14.3215
5.25,14.3215
5.375,14.3215
5.5,14.3215
5.625,14.3215
5.75,14.3215
5.875,14.3215
6,14.3215
