T,Cl
0,0
0.125,-0.000307504
0.25,-0.00116223
0.375,-0.00245996
0.5,-0.00412666
0.625,-0.00609339
0.75,-0.00829266
0.875,-0.010656
1,-0.0131102
1.125,-0.0155743
1.25,-0.0179579
1.375,-0.0201617
1.5,-0.022081
1.625,-0.0236118
1.75,-0.0246588
1.875,-0.0251436
2,-0.0250137
2.125,-0.0245832
2.25,-0.0243087
2.375,-0.0242176
2.5,-0.024183
2.625,-0.0241633
2.75,-0.024147
2.875,-0.0241321
3,-0.0241188
3.125,-0.0241073
3.25,-0.0240979
3.375,-0.0240903
3.5,-0.0240844
3.625,-0.0240799
3.75,-0.0240765
3.875,-0.024074
4,-0.0240721
4.125,-0.0240707
4.25,-0.0240697
4.375,-0.024069
4.5,-0.0240685
4.625,-0.0240681
4.75,-0.0240678
4.875,-0.0240676
5,-0.0240675
5.125,-0.0240674
5.25,-0.0240674
5.375,-0.0240673
5.5,-0.0240673
5.625,-0.0240673
5.75,-0.0240673
5.875,-0.0240673
6,-0.0240672
