T,Cl
0,0
0.125,-0.000145644
0.25,-0.000554439
0.375,-0.00118668
0.5,-0.00201808
0.625,-0.00302675
0.75,-0.00418662
0.875,-0.00546622
1,-0.00682793
1.125,-0.00822731
1.25,-0.00961269
1.375,-0.0109257
1.5,-0.0121029
1.625,-0.0130796
1.75,-0.0137935
1.875,-0.0141905
2,-0.0142299
2.125,-0.0139701
2.25,-0.0137103
2.375,-0.013634
2.5,-0.0136559
2.625,-0.0137233
2.75,-0.0138055
2.875,-0.0138866
3,-0.0139592
3.125,-0.0140209
3.25,-0.0140716
3.375,-0.014112
3.5,-0.0141438
3.625,-0.0141682
3.75,-0.0141866
3.875,-0.0142003
4,-0.0142102
4.125,-0.0142172
4.25,-0.0142219
4.375,-0.0142249
4.5,-0.0142267
4.625,-0.0142275
4.75,-0.0142276
4.875,-0.0142273
5,-0.0142266
5.125,-0.0142258
5.25,-0.0142248
5.375,-0.0142238
5.5,-0.0142227
5.625,-0.0142217
5.75,-0.0142208
5.875,-0.0142198
6,-0.014219
