T,Cd
0,0
0.125,0.105476
0.25,0.373432
0.375,0.745278
0.5,1.20158
0.625,1.72303
0.75,2.28889
0.875,2.87711
1,3.46494
1.125,4.02972
1.25,4.54971
1.375,5.00494
1.5,5.37789
1.625,5.65426
1.75,5.82342
1.875,5.87888
2,5.81851
2.125,5.74987
2.25,5.73692
2.375,5.73205
2.5,5.72993
2.625,5.72891
2.75,5.72836
2.875,5.72803
3,5.72782
3.125,5.72768
3.25,5.72758
3.375,5.7275
3.5,5.72744
3.625,5.72739
3.75,5.72735
3.875,5.72732
4,5.72729
4.125,5.72727
4.25,5.72726
4.375,5.72724
4.5,5.72723
4.625,5.72722
4.75,5.72721
4.875,5.7272
5,5.7272
5.125,5.72719
5.25,5.72719
5.375,5.72718
5.5,5.72718
5.625,5.72718
5.75,5.72718
5.875,5.72718
6,5.72717
