T,Cd
0,0
0.125,0.0386285
0.25,0.125493
0.375,0.228047
0.5,0.339884
0.625,0.455528
0.75,0.569987
0.875,0.678542
1,0.776638
1.125,0.859973
1.25,0.924678
1.375,0.967526
1.5,0.986123
1.625,0.979197
1.75,0.946885
1.875,0.890834
2,0.813939
2.125,0.757008
2.25,0.735476
2.375,0.722823
2.5,0.714608
2.625,0.708379
2.75,0.703163
2.875,0.698688
3,0.694889
3.125,0.691714
3.25,0.689092
3.375,0.686932
3.5,0.685151
3.625,0.683678
3.75,0.682452
3.875,0.681426
4,0.680564
4.125,0.679837
4.25,0.679221
4.375,0.678697
4.5,0.67825
4.625,0.677868
4.75,0.677539
4.875,0.677255
5,0.677008
5.125,0.676798
5.25,0.676611
5.375,0.676449
5.5,0.676307
5.625,0.676183
5.75,0.676073
5.875,0.675977
6,0.675891
