T,Cl
0,0
0.125,1.95082e-05
0.25,3.34138e-06
0.375,-8.94998e-05
0.5,-0.000194502
0.625,-0.000254256
0.75,-0.000272676
0.875,-0.000406156
1,-0.000962836
1.125,-0.00219873
1.25,-0.00411687
1.375,-0.00647367
1.5,-0.00889171
1.625,-0.0109854
1.75,-0.0124869
1.875,-0.0133033
2,-0.0134651
2.125,-0.0128283
2.25,-0.0117918
2.375,-0.01105
2.5,-0.0106217
2.625,-0.0104288
2.75,-0.0103955
2.875,-0.0104601
3,-0.010576
3.125,-0.0107134
3.25,-0.0108579
3.375,-0.0110048
3.5,-0.0111545
3.625,-0.0113091
3.75,-0.0114701
3.875,-0.0116381
4,-0.0118128
4.125,-0.0119933
4.25,-0.0121785
4.375,-0.0123671
4.5,-0.0125577
4.625,-0.0127494
4.75,-0.0129413
4.875,-0.0131326
5,-0.0133227
5.125,-0.013511
5.25,-0.0136973
5.375,-0.0138812
5.5,-0.0140624
5.625,-0.0142408
5.75,-0.0144161
5.875,-0.0145883
6,-0.0147574
