T,Cd
0,0
0.125,0.885802
0.25,1.54074
0.375,2.17736
0.5,2.80585
0.625,3.42694
0.75,4.03965
0.875,4.64265
1,5.23453
1.125,5.81388
1.25,6.37933
1.375,6.92951
1.5,7.4631
1.625,7.97882
1.75,8.47542
1.875,8.9517
2,9.40649
2.125,9.83871
2.25,10.2473
2.375,10.6312
2.5,10.9896
2.625,11.3215
2.75,11.6262
2.875,11.9029
3,12.1508
3.125,12.3695
3.25,12.5583
3.375,12.7169
3.5,12.8447
3.625,12.9415
3.75,13.007
3.875,13.0411
4,13.0437
4.125,13.0148
4.25,12.9544
4.375,12.8628
4.5,12.74
4.625,12.5865
4.75,12.4025
4.875,12.1886
5,11.9452
5.125,11.6731
5.25,11.3727
5.375,11.0449
5.5,10.6905
5.625,10.3104
5.75,9.90536
5.875,9.47653
6,9.0249
6.125,8.55158
6.25,8.05773
6.375,7.54454
6.5,7.01326
6.625,6.46518
6.75,5.90163
6.875,5.32397
7,4.73359
7.125,4.13192
7.25,3.52041
7.375,2.90053
7.5,2.27377
7.625,1.64163
7.75,1.00563
7.875,0.367285
8,-0.27187
