T,Cd
0,0
0.125,0.248108
0.25,0.340774
0.375,0.420537
0.5,0.493412
0.625,0.561697
0.75,0.626507
0.875,0.688453
1,0.747889
1.125,0.805022
1.25,0.859964
1.375,0.912748
1.5,0.963352
1.625,1.01171
1.75,1.05772
1.875,1.10129
2,1.14231
2.125,1.18066
2.25,1.21623
2.375,1.24892
2.5,1.27863
2.625,1.30527
2.75,1.32876
2.875,1.34902
3,1.36599
3.125,1.37962
3.25,1.38985
3.375,1.39666
3.5,1.4
3.625,1.39988
3.75,1.39627
3.875,1.38918
4,1.37863
4.125,1.36463
4.25,1.34722
4.375,1.32645
4.5,1.30235
4.625,1.275
4.75,1.24444
4.875,1.2108
5,1.1741
5.125,1.13453
5.25,1.09202
5.375,1.04699
5.5,0.999075
5.625,0.949064
5.75,0.896235
5.875,0.841764
6,0.784689
6.125,0.726254
6.25,0.665684
6.375,0.603785
6.5,0.54034
6.625,0.475675
6.75,0.409936
6.875,0.343292
7,0.275936
7.125,0.20805
7.25,0.139824
7.375,0.071447
7.5,0.00311158
7.625,-0.0649933
7.75,-0.13268
7.875,-0.199771
8,-0.266099
