T,Cl
0,0
0.125,-0.000168119
0.25,-0.00067643
0.375,-0.00108513
0.5,-0.00141026
0.625,-0.00166137
0.75,-0.00184445
0.875,-0.00196499
1,-0.00203048
1.125,-0.00204995
1.25,-0.00203159
1.375,-0.00198096
1.5,-0.00190255
1.625,-0.00180112
1.75,-0.00168155
1.875,-0.00154775
2,-0.00140273
2.125,-0.00124952
2.25,-0.00109119
2.375,-0.000930744
2.5,-0.000770992
2.625,-0.000614857
2.75,-0.000464721
2.875,-0.00032299
3,-0.000191655
3.125,-7.24671e-05
3.25,3.31754e-05
3.375,0.000124156
3.5,0.000199726
3.625,0.000259416
3.75,0.000303061
3.875,0.000330892
4,0.000343335
4.125,0.000340678
4.25,0.000324397
4.375,0.000295564
4.5,0.000254775
4.625,0.000204923
4.75,0.000145222
4.875,8.104e-05
5,8.73415e-06
5.125,-6.29529e-05
5.25,-0.000139597
5.375,-0.000214752
5.5,-0.000283079
5.625,-0.000363007
5.75,-0.000412797
5.875,-0.000490508
6,-0.000531049
6.125,-0.000566325
6.25,-0.000621164
6.375,-0.000593109
6.5,-0.000642874
6.625,-0.000604584
6.75,-0.000592805
6.875,-0.000554723
7,-0.000493805
7.125,-0.000415962
7.25,-0.000314909
7.375,-0.000187353
7.5,-3.09639e-05
7.625,0.000157237
7.75,0.000379605
7.875,0.000637231
8,0.000929257
