T,Cd
0,0
0.125,0.0665786
0.25,0.228603
0.375,0.441451
0.5,0.692353
0.625,0.96966
0.75,1.26171
0.875,1.55676
1,1.84316
1.125,2.10977
1.25,2.34622
1.375,2.54337
1.5,2.69357
1.625,2.79098
1.75,2.83177
1.875,2.8143
2,2.73917
2.125,2.6753
2.25,2.65724
2.375,2.64807
2.5,2.643
2.625,2.64004
2.75,2.63824
2.875,2.63709
3,2.63634
3.125,2.63583
3.25,2.63546
3.375,2.6352
3.5,2.635
3.625,2.63485
3.75,2.63473
3.875,2.63464
4,2.63456
4.125,2.63449
4.25,2.63443
4.375,2.63438
4.5,2.63434
4.625,2.6343
4.75,2.63427
4.875,2.63424
5,2.63422
5.125,2.63419
5.25,2.63417
5.375,2.63415
5.5,2.63414
5.625,2.63412
5.75,2.63411
5.875,2.6341
6,2.63408
