T,Cl
0,0
0.125,-0.000245536
0.25,-0.000961522
0.375,-0.0020601
0.5,-0.00341573
0.625,-0.00490656
0.75,-0.00641455
0.875,-0.00783842
1,-0.00910689
1.125,-0.0101862
1.25,-0.0110786
1.375,-0.0118108
1.5,-0.0124173
1.625,-0.0129229
1.75,-0.0133327
1.875,-0.0136308
2,-0.0137858
2.125,-0.0138129
2.25,-0.0138392
2.375,-0.0139578
2.5,-0.0141288
2.625,-0.0143124
2.75,-0.0144867
2.875,-0.0146416
3,-0.0147742
3.125,-0.0148849
3.25,-0.0149761
3.375,-0.0150502
3.5,-0.01511
3.625,-0.0151579
3.75,-0.0151959
3.875,-0.015226
4,-0.0152497
4.125,-0.0152683
4.25,-0.0152828
4.375,-0.015294
4.5,-0.0153028
4.625,-0.0153093
4.75,-0.0153143
4.875,-0.0153182
5,-0.0153211
5.125,-0.0153232
5.25,-0.0153247
5.375,-0.0153258
5.5,-0.0153265
5.625,-0.015327
5.75,-0.0153273
5.875,-0.0153275
6,-0.0153275
