T,Cd
0,0
0.125,0.175837
0.25,0.650532
0.375,1.35686
0.5,2.26419
0.625,3.33694
0.75,4.53376
0.875,5.80865
1,7.11261
1.125,8.39556
1.25,9.60818
1.375,10.7039
1.5,11.6404
1.625,12.3819
1.75,12.8997
1.875,13.1739
2,13.1939
2.125,13.1348
2.25,13.1289
2.375,13.1275
2.5,13.127
2.625,13.1268
2.75,13.1267
2.875,13.1267
3,13.1266
3.125,13.1266
3.25,13.1266
3.375,13.1266
3.5,13.1266
3.625,13.1266
3.75,13.1266
3.875,13.1265
4,13.1265
4.125,13.1265
4.25,13.1265
4.375,13.1265
4.5,13.1265
4.625,13.1265
4.75,13.1265
4.875,13.1265
5,13.1265
5.125,13.1265
5.25,13.1265
5.375,13.1265
5.5,13.1265
5.625,13.1265
5.75,13.1265
5.875,13.1265
6,13.1265
