T,Cd
0,0
0.125,0.898052
0.25,1.55873
0.375,2.20069
0.5,2.83437
0.625,3.46053
0.75,4.07817
0.875,4.68594
1,5.28242
1.125,5.8662
1.25,6.43586
1.375,6.99004
1.5,7.5274
1.625,8.04665
1.75,8.54653
1.875,9.02584
2,9.48342
2.125,9.91817
2.25,10.329
2.375,10.715
2.5,11.0752
2.625,11.4087
2.75,11.7147
2.875,11.9925
3,12.2414
3.125,12.4608
3.25,12.6501
3.375,12.809
3.5,12.937
3.625,13.0338
3.75,13.0991
3.875,13.1329
4,13.1351
4.125,13.1056
4.25,13.0445
4.375,12.9519
4.5,12.8281
4.625,12.6734
4.75,12.4882
4.875,12.2728
5,12.0279
5.125,11.7539
5.25,11.4517
5.375,11.1218
5.5,10.7652
5.625,10.3826
5.75,9.975
5.875,9.54337
6,9.08876
6.125,8.61227
6.25,8.11504
6.375,7.59827
6.5,7.06322
6.625,6.51117
6.75,5.94346
6.875,5.36146
7,4.76657
7.125,4.16023
7.25,3.5439
7.375,2.91907
7.5,2.28724
7.625,1.64994
7.75,1.0087
7.875,0.365068
8,-0.279403
