T,Cl
0,0
0.125,-0.000115248
0.25,-0.000484196
0.375,-0.00107362
0.5,-0.00177837
0.625,-0.00249752
0.75,-0.00314095
0.875,-0.00364773
1,-0.00400688
1.125,-0.0042648
1.25,-0.00450473
1.375,-0.00480526
1.5,-0.00520354
1.625,-0.00568362
1.75,-0.00618842
1.875,-0.00664299
2,-0.00697761
2.125,-0.00703637
2.25,-0.00693874
2.375,-0.00696079
2.5,-0.00708436
2.625,-0.00726938
2.75,-0.00748883
2.875,-0.00772439
3,-0.00796335
3.125,-0.00819722
3.25,-0.00842075
3.375,-0.00863094
3.5,-0.00882634
3.625,-0.00900652
3.75,-0.00917165
3.875,-0.00932231
4,-0.00945928
4.125,-0.00958346
4.25,-0.00969581
4.375,-0.00979724
4.5,-0.00988874
4.625,-0.00997112
4.75,-0.0100453
4.875,-0.0101118
5,-0.0101718
5.125,-0.0102256
5.25,-0.0102738
5.375,-0.010317
5.5,-0.0103558
5.625,-0.0103906
5.75,-0.0104217
5.875,-0.0104496
6,-0.0104746
