T,Cd
0,0
0.125,0.0652186
0.25,0.224194
0.375,0.43352
0.5,0.680728
0.625,0.954406
0.75,1.24313
0.875,1.53537
1,1.81969
1.125,2.08503
1.25,2.32114
1.375,2.51885
1.5,2.67048
1.625,2.77009
1.75,2.81369
1.875,2.79946
2,2.7278
2.125,2.66632
2.25,2.64927
2.375,2.64068
2.5,2.6359
2.625,2.63309
2.75,2.63137
2.875,2.63028
3,2.62957
3.125,2.62909
3.25,2.62875
3.375,2.62851
3.5,2.62833
3.625,2.6282
3.75,2.6281
3.875,2.62802
4,2.62795
4.125,2.6279
4.25,2.62785
4.375,2.62781
4.5,2.62778
4.625,2.62775
4.75,2.62772
4.875,2.6277
5,2.62768
5.125,2.62766
5.25,2.62765
5.375,2.62763
5.5,2.62762
5.625,2.62761
5.75,2.6276
5.875,2.62759
6,2.62758
